Program Version:,EnergyPlus, Version 24.2.0-94a887817b, YMD=2025.04.10 17:22
Tabular Output Report in Format: ,Comma

Building:,HotelLarge
Environment:,RUNPERIOD 1 ** New York J F Kennedy IntL Ar NY USA TMY3 WMO#=744860

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,9593.76,845.62,845.62
,Net Site Energy,9418.40,830.16,830.16
,Total Source Energy,19808.29,1745.95,1745.95
,Net Source Energy,19252.93,1697.00,1697.00


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,11345.29
,Net Conditioned Building Area,11345.29
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.00,667.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,967.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,439.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,150.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,1648.46,1788.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,390.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,600.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,106.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,90.74,2620.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
,Refrigeration,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,4516.88,5076.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Interior Lighting,36244.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,9571.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,86131.51,83438.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,19286.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,29994.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,3757.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,8265.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,3572.16,226617.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,1343.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,358440.81,462235.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [W],Natural Gas [W],Gasoline [W],Diesel [W],Coal [W],Fuel Oil No 1 [W],Fuel Oil No 2 [W],Propane [W],Other Fuel 1 [W],Other Fuel 2 [W],District Cooling [W],District Heating Water [W],District Heating Steam [W],Water [m3/s]
,Heating,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Boiler,0.00,152179.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Boiler Parasitic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,160273.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,LightsWired,36244.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,9571.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,MiscPlug,56456.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Cooking,29240.64,49984.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ReachInFreezer,277.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ReachInRefrigerator,156.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Laundry,0.00,33453.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,Transformer,1215.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ElevatorLift,17944.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,ElevatorLightsFan,126.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,Ventilation (simple),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,General,29994.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,General,3757.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,8265.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Water Heater,3572.16,226617.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,WaterUse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,241.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,LowTempRefrigeration,431.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,MedTempRefrigeration,670.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,DCtoACInverter Ancillary,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Source Energy End Use Components Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Source Energy End Use Components Summary

,,Source Electricity [GJ],Source Natural Gas [GJ],Source Gasoline [GJ],Source Diesel [GJ],Source Coal [GJ],Source Fuel Oil No 1 [GJ],Source Fuel Oil No 2 [GJ],Source Propane [GJ],Source Other Fuel 1 [GJ],Source Other Fuel 2 [GJ],Source District Cooling [GJ],Source District Heating Water [GJ],Source District Heating Steam [GJ]
,Heating,0.00,723.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,3064.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,1391.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,475.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,5220.66,1939.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,1236.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,1901.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,247.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,338.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,287.38,2840.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,139.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total Source Energy End Use Components,14304.96,5503.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Source Energy End Use Components Per Conditioned Floor Area

,,Source Electricity [MJ/m2],Source Natural Gas [MJ/m2],Source Gasoline [MJ/m2],Source Diesel [MJ/m2],Source Coal [MJ/m2],Source Fuel Oil No 1 [MJ/m2],Source Fuel Oil No 2 [MJ/m2],Source Propane [MJ/m2],Source Other Fuel 1 [MJ/m2],Source Other Fuel 2 [MJ/m2],Source District Cooling [MJ/m2],Source District Heating Water [MJ/m2],Source District Heating Steam [MJ/m2]
,Heating,0.00,63.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,270.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,122.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,41.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,460.16,170.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,109.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,167.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,21.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,29.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,25.33,250.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,12.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total Source Energy End Use Components,1260.87,485.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Source Energy End Use Components Per Total Floor Area

,,Source Electricity [MJ/m2],Source Natural Gas [MJ/m2],Source Gasoline [MJ/m2],Source Diesel [MJ/m2],Source Coal [MJ/m2],Source Fuel Oil No 1 [MJ/m2],Source Fuel Oil No 2 [MJ/m2],Source Propane [MJ/m2],Source Other Fuel 1 [MJ/m2],Source Other Fuel 2 [MJ/m2],Source District Cooling [MJ/m2],Source District Heating Water [MJ/m2],Source District Heating Steam [MJ/m2]
,Heating,0.00,63.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,270.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,122.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,41.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,460.16,170.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,109.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,167.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,21.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,29.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,25.33,250.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,12.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total Source Energy End Use Components,1260.87,485.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
AirTerminal:SingleDuct:VAV:Reheat

,,Design Size Maximum Air Flow Rate [m3/s],Design Size Constant Minimum Air Flow Fraction,User-Specified Constant Minimum Air Flow Fraction,Design Size Minimum Air Flow Rate [m3/s],Design Size Maximum Flow Fraction during Reheat [],User-Specified Maximum Flow Fraction during Reheat [],Design Size Maximum Flow per Zone Floor Area during Reheat [m3/s-m2],Design Size Maximum Reheat Water Flow Rate [m3/s],Design Size Reheat Coil Sizing Air Volume Flow Rate [m3/s],Design Size Reheat Coil Sizing Inlet Air Temperature [C],Design Size Reheat Coil Sizing Inlet Air Humidity Ratio [kgWater/kgDryAir]
,BASEMENT VAV BOX COMPONENT,2.06,0.731240,0.622000,1.28,1.00,0.500000,0.000521,0.000148,1.28,16.70,0.008000
,RETAIL_1_FLR_1 VAV BOX COMPONENT,0.282249,0.181075,0.421000,0.118827,0.501600,0.500000,0.002104,0.000068,0.118827,16.70,0.008000
,RETAIL_2_FLR_1 VAV BOX COMPONENT,0.199109,0.297243,0.691000,0.137584,0.792647,0.500000,0.001282,0.000035,0.137584,16.70,0.008000
,MECH_FLR_1 VAV BOX COMPONENT,0.201814,0.620142,0.010000,0.002018,1.00,0.500000,0.000614,0.000046,0.072872,16.70,0.008000
,STORAGE_FLR_1 VAV BOX COMPONENT,0.095184,0.758604,0.910000,0.086617,1.00,0.500000,0.000502,0.000034,0.086617,16.70,0.008000
,LAUNDRY_FLR_1 VAV BOX COMPONENT,3.25,0.018291,0.010000,0.032511,0.300000,0.500000,0.020830,0.000060,0.096233,16.70,0.008000
,CAFE_FLR_1 VAV BOX COMPONENT,1.31,0.110273,0.777000,1.01,0.777000,0.500000,0.003455,0.000250,1.01,16.70,0.008000
,LOBBY_FLR_1 VAV BOX COMPONENT,4.33,0.230144,0.656000,2.84,0.656000,0.500000,0.001655,0.000657,2.84,16.70,0.008000
,CORRIDOR_FLR_3 VAV BOX COMPONENT,1.06,1.00,0.672000,0.712142,1.00,0.500000,0.000340,0.000263,0.712142,16.70,0.008000
,BANQUET_FLR_6 VAV BOX COMPONENT,2.05,0.123062,0.868000,1.78,0.868000,0.500000,0.003096,0.000324,1.78,16.70,0.008000
,DINING_FLR_6 VAV BOX COMPONENT,2.16,0.117110,0.826000,1.78,0.826000,0.500000,0.003253,0.000327,1.78,16.70,0.008000
,KITCHEN_FLR_6 VAV BOX COMPONENT,2.14,0.066172,0.258000,0.552027,0.300000,0.500000,0.010356,0.000112,0.552027,16.70,0.008000
,CORRIDOR_FLR_6 VAV BOX COMPONENT,0.625419,0.502126,0.301000,0.188251,1.00,0.500000,0.000759,0.000154,0.245888,16.70,0.008000
User-Specified values were used. Design Size values were used if no User-Specified values were provided. Design Size values may be derived from alternate User-Specified values.


Coil:Heating:Water

,,Design Size Rated Capacity [W],Design Size Maximum Water Flow Rate [m3/s],Design Size U-Factor Times Area Value [W/K]
,BASEMENT VAV BOX REHEAT COIL,6768.93,0.000148,195.44
,RETAIL_1_FLR_1 VAV BOX REHEAT COIL,3097.69,0.000068,122.53
,RETAIL_2_FLR_1 VAV BOX REHEAT COIL,1616.65,0.000035,52.01
,MECH_FLR_1 VAV BOX REHEAT COIL,2083.35,0.000046,86.32
,STORAGE_FLR_1 VAV BOX REHEAT COIL,1574.13,0.000034,55.26
,LAUNDRY_FLR_1 VAV BOX REHEAT COIL,2751.23,0.000060,114.00
,CAFE_FLR_1 VAV BOX REHEAT COIL,11439.62,0.000250,365.02
,LOBBY_FLR_1 VAV BOX REHEAT COIL,30038.53,0.000657,946.58
,ROOM_1_FLR_3 FAN COIL HEATING COIL,5208.74,0.000114,235.25
,ROOM_2_FLR_3 FAN COIL HEATING COIL,5214.75,0.000114,235.52
,ROOM_3_MULT19_FLR_3 FAN COIL HEATING COIL,29600.54,0.000648,1336.86
,ROOM_4_MULT19_FLR_3 FAN COIL HEATING COIL,29727.74,0.000650,1342.60
,ROOM_5_FLR_3 FAN COIL HEATING COIL,5196.01,0.000114,234.68
,ROOM_6_FLR_3 FAN COIL HEATING COIL,5202.03,0.000114,234.95
,CORRIDOR_FLR_3 VAV BOX REHEAT COIL,12008.05,0.000263,414.70
,ROOM_1_FLR_6 FAN COIL HEATING COIL,1592.94,0.000035,71.94
,ROOM_2_FLR_6 FAN COIL HEATING COIL,1594.86,0.000035,72.02
,ROOM_3_MULT9_FLR_6 FAN COIL HEATING COIL,7630.09,0.000167,344.57
,BANQUET_FLR_6 VAV BOX REHEAT COIL,14831.37,0.000324,449.76
,DINING_FLR_6 VAV BOX REHEAT COIL,14945.96,0.000327,453.72
,KITCHEN_FLR_6 VAV BOX REHEAT COIL,5111.93,0.000112,157.49
,CORRIDOR_FLR_6 VAV BOX REHEAT COIL,7030.79,0.000154,291.34
,VAV WITH REHEAT HEATING COIL,195518.45,0.004277,3963.54
,FLR_3_DOAS HEATING COIL,20393.42,0.000446,413.41
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:ZoneExhaust

,,Design Electric Power Consumption [W]
,LAUNDRY_FLR_1 EXHAUST FAN,76.61
,LOBBY_FLR_1 EXHAUST FAN,0.000000
,BANQUET_FLR_6 EXHAUST FAN,0.000000
,DINING_FLR_6 EXHAUST FAN,0.000000
,KITCHEN_FLR_6 EXHAUST FAN,612.92
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:ConstantVolume:NoReheat

,,Design Size Maximum Air Flow Rate [m3/s]
,ROOM_1_FLR_3 DIRECT AIR,0.061735
,ROOM_2_FLR_3 DIRECT AIR,0.061728
,ROOM_3_MULT19_FLR_3 DIRECT AIR,0.837072
,ROOM_4_MULT19_FLR_3 DIRECT AIR,0.837300
,ROOM_5_FLR_3 DIRECT AIR,0.061735
,ROOM_6_FLR_3 DIRECT AIR,0.061728
,ROOM_1_FLR_6 DIRECT AIR,0.015434
,ROOM_2_FLR_6 DIRECT AIR,0.015432
,ROOM_3_MULT9_FLR_6 DIRECT AIR,0.099154
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


ZoneHVAC:FourPipeFanCoil

,,Design Size Maximum Supply Air Flow Rate [m3/s],Design Size Maximum Hot Water Flow [m3/s],Design Size Maximum Cold Water Flow [m3/s]
,ROOM_1_FLR_3 FAN COIL,0.782251,0.000114,0.000261
,ROOM_2_FLR_3 FAN COIL,0.762306,0.000114,0.000254
,ROOM_3_MULT19_FLR_3 FAN COIL,4.97,0.000648,0.001606
,ROOM_4_MULT19_FLR_3 FAN COIL,4.96,0.000650,0.001724
,ROOM_5_FLR_3 FAN COIL,0.717304,0.000114,0.000240
,ROOM_6_FLR_3 FAN COIL,0.699348,0.000114,0.000235
,ROOM_1_FLR_6 FAN COIL,0.205470,0.000035,0.000068
,ROOM_2_FLR_6 FAN COIL,0.199815,0.000035,0.000066
,ROOM_3_MULT9_FLR_6 FAN COIL,1.03,0.000167,0.000348
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:OnOff

,,Design Size Maximum Flow Rate [m3/s],Design Electric Power Consumption [W]
,ROOM_1_FLR_3 FAN COIL FAN COILFAN_FAN,0.782251,550.42
,ROOM_2_FLR_3 FAN COIL FAN COILFAN_FAN,0.762306,536.39
,ROOM_3_MULT19_FLR_3 FAN COIL FAN COILFAN_FAN,4.97,3497.43
,ROOM_4_MULT19_FLR_3 FAN COIL FAN COILFAN_FAN,4.96,3492.38
,ROOM_5_FLR_3 FAN COIL FAN COILFAN_FAN,0.717304,504.72
,ROOM_6_FLR_3 FAN COIL FAN COILFAN_FAN,0.699348,492.09
,ROOM_1_FLR_6 FAN COIL FAN COILFAN_FAN,0.205470,144.58
,ROOM_2_FLR_6 FAN COIL FAN COILFAN_FAN,0.199815,140.60
,ROOM_3_MULT9_FLR_6 FAN COIL FAN COILFAN_FAN,1.03,725.56
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:Water

,,Design Size Design Inlet Air Temperature [C],Design Size Design Inlet Water Temperature [C],Design Size Design Inlet Air Humidity Ratio [kgWater/kgDryAir],Design Size Design Outlet Air Temperature [C],Design Size Design Outlet Air Humidity Ratio [kgWater/kgDryAir],Design Size Design Water Flow Rate [m3/s],Design Size Design Air Flow Rate [m3/s],Design Size Design Coil Load [W]
,ROOM_1_FLR_3 FAN COIL COOLING COIL,21.68,6.70,0.008741,12.80,0.008500,0.000261,0.782251,
,ROOM_2_FLR_3 FAN COIL COOLING COIL,21.68,6.70,0.008748,12.80,0.008500,0.000254,0.762306,
,ROOM_3_MULT19_FLR_3 FAN COIL COOLING COIL,21.68,6.70,0.008625,12.80,0.008500,0.001606,4.97,
,ROOM_4_MULT19_FLR_3 FAN COIL COOLING COIL,21.68,6.70,0.008903,12.80,0.008500,0.001724,4.96,
,ROOM_5_FLR_3 FAN COIL COOLING COIL,21.68,6.70,0.008764,12.80,0.008500,0.000240,0.717304,
,ROOM_6_FLR_3 FAN COIL COOLING COIL,21.68,6.70,0.008771,12.80,0.008500,0.000235,0.699348,
,ROOM_1_FLR_6 FAN COIL COOLING COIL,21.68,6.70,0.008730,12.80,0.008500,0.000068,0.205470,
,ROOM_2_FLR_6 FAN COIL COOLING COIL,21.68,6.70,0.008736,12.80,0.008500,0.000066,0.199815,
,ROOM_3_MULT9_FLR_6 FAN COIL COOLING COIL,21.68,6.70,0.008789,12.80,0.008500,0.000348,1.03,
,VAV WITH REHEAT COOLING COIL,27.84,6.70,0.011856,10.99,0.008500,0.017443,19.67,609889.56
,FLR_3_DOAS COOLING COIL,32.10,6.70,0.014120,11.94,0.008500,0.002469,2.05,86334.71
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC

,,Sum of Air Terminal Maximum Heating Flow Rates [m3/s],Sum of Air Terminal Minimum Heating Flow Rates [m3/s],Sum of Air Terminal Maximum Flow Rates [m3/s],Adjusted Heating Design Air Flow Rate [m3/s],Adjusted Cooling Design Air Flow Rate [m3/s],Adjusted Main Design Air Flow Rate [m3/s],User Heating Air Flow Ratio [],Calculated Heating Air Flow Ratio [],Design Supply Air Flow Rate [m3/s]
,VAV WITH REHEAT,12.89,10.53,19.76,10.53,19.67,19.67,0.300000,0.535578,19.67
,FLR_3_DOAS,2.05,2.05,2.05,2.05,2.05,2.05,0.300000,1.00,2.05
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Controller:OutdoorAir

,,Maximum Outdoor Air Flow Rate [m3/s],Minimum Outdoor Air Flow Rate [m3/s]
,VAV WITH REHEAT_OA_CONTROLLER,19.67,
,FLR_3_DOAS_OA_CONTROLLER,2.05,2.05
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


HeatExchanger:AirToAir:SensibleAndLatent

,,Design Size Nominal Supply Air Flow Rate [m3/s]
,VAV WITH REHEAT OA HEAT RECOVERY,9.33
,FLR_3_DOAS OA HEAT RECOVERY,2.05
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:VariableVolume

,,Design Size Maximum Flow Rate [m3/s],Design Electric Power Consumption [W]
,VAV WITH REHEAT FAN,19.67,44065.88
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


